Age,Height_cm,Gender
5,110,Female
6,115,Male
7,118,Female
8,122,Male
9,128,Female
10,133,Male
11,138,Female
12,145,Male
13,150,Female
14,155,Male
15,160,Female
16,165,Male
17,168,Female
18,170,Male
19,172,Female
20,174,Male
21,175,Female
22,176,Male
23,177,Female
24,178,Male
25,179,Female
26,178,Male
27,177,Female
28,176,Male
29,175,Female
30,174,Male
31,173,Female
32,172,Male
33,171,Female
34,170,Male
35,169,Female
36,168,Male
37,167,Female
38,166,Male
39,165,Female
40,164,Male
41,163,Female
42,162,Male
43,161,Female
44,160,Male
45,159,Female
46,158,Male
47,157,Female
48,156,Male
49,155,Female
50,154,Male
51,153,Female
52,152,Male
53,151,Female
54,150,Male
55,149,Female
