Gender,Courses,Hours_attended,Hours_prepared,Success_exam
Male,Science,20,7,Y
Male,Commerce,,4,No
Female,Science,28,14,Yes
Male,Arts,18,8,Yes
Male,Commerce,12,,N
Female,Science,24,12,
Female,Arts,26,11,Yes
Male,Commerce,8,3,N
Female,Science,25,14,Yes
Female,Arts,10,4,N
Male,,12,Yes
Female,Arts,12,8,No
Female,Arts,10,7,N
Female,Science,29,,Y
Male,Science,30,14,Yes
Female,Commerce,22,11,Yes
Female,Science,27,15,
Female,Arts,20,10,Y
Male,,9,12,No
Female,Science,25,14,Yes
Female,Arts,18,8,Yes
Female,Commerce,180,40,
